PetID,DateofVisit,Procedure,OtherComments
100,2016-05-06,RAV,
100,2016-12-06,DEW,
102,2019-02-14,NEU,
102,2019-10-15,RAV,
135,2019-06-14,SPY,
135,2019-12-15,DEW,
150,2020-05-06,SPY,
150,2020-10-06,DEW,
205,2021-9-15,RAV,
205,2021-9-16,DEW,
210,2020-12-15,RAV,
246,2020-12-10,DEW,
246,2021-02-14,NEU,
260,2021-12-12,DEW,
261,2021-04-12,DEW,
261,2021-10-15,RAV,
265,2022-10-10,RAV,
341,2022-10-06,RAV,
341,2024-01-09,TEX,
350,2023-12-06,RAV,
400,2024-03-02,DEW,
400,2024-03-03,RAV,
420,2024-05-25,RAV,
421,2024-04-06,DEW,
421,2024-04-07,RAV,
450,2024-05-06,DEW,
455,2023-08-09,RAV,
455,2023-10-09,SPY,
470,2023-10-09,RAV,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
